Year,CountryName,CountryCode,PopulationTotal,,Emissionspercapita,,EmissionsTotal
2011,Qatar,QAT,1905437,Qatar,44.01892637,QAT,83875.291
2011,Trinidad and Tobago,TTO,1334790,Trinidad and Tobago,37.14005424,TTO,49574.173
2011,Kuwait,KWT,3239181,Kuwait,28.10266175,KWT,91029.608
2011,Brunei Darussalam,BRN,399443,Brunei Darussalam,24.39201338,BRN,9743.219
2011,Aruba,ABW,101936,Aruba,23.9224121,ABW,2438.555
2011,Luxembourg,LUX,518347,Luxembourg,20.8978117,LUX,10832.318
2011,United Arab Emirates,ARE,8734722,United Arab Emirates,20.43383762,ARE,178483.891
2011,Oman,OMN,3210003,Oman,20.20389451,OMN,64854.562
2011,Saudi Arabia,SAU,28788438,Saudi Arabia,18.07245072,SAU,520277.627
2011,Bahrain,BHR,1306014,Bahrain,17.94732981,BHR,23439.464
